user_id,vehicle_model,battery_capacity,charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed,charging_duration,charging_rate,charging_cost,time_of_day,day_of_week,soc_start,soc_end,distance_driven,temperature,vehicle_age,charger_type,user_type
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.12887570011548,2.4526527258367823,27.51359255877324,35.66727042356739,Morning,Thursday,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2,Level 2,Commuter
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.862139988267536,3.5396190263161467,26.18518786003352,22.21422517569784,Evening,Friday,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4,Level 2,Commuter
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839947,2.6553964456130235,26.7029077655282,9.796821321322032,Afternoon,Monday,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0,Level 2,Long-Distance Traveler
User_13,Hyundai Kona,100.0,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516025,3.0655847520228034,5.523688619042968,10.972135997218215,Afternoon,Monday,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0,Level 2,Casual Driver
User_20,BMW i3,50.0,Station_125,Los Angeles,2024-01-01 19:00:00,2024-01-01 20:22:00,48.48248430757049,2.5809253540076567,45.29143534649799,7.090844200594135,Morning,Wednesday,12.754877571721774,116.0956568894014,243.25576946966927,9.202409891916812,3,Level 2,Long-Distance Traveler
User_21,Nissan Leaf,50.0,Station_81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,50.27906667357191,3.16887289218907,30.489960233968677,28.872894608008124,Night,Tuesday,16.545512365179043,77.93632713949575,15.420444595980063,33.980310103059054,3,Level 2,Casual Driver
User_29,BMW i3,75.0,Station_129,Los Angeles,2024-01-02 04:00:00,2024-01-02 04:35:00,31.68448458657448,2.4396779381538938,48.64872319079225,25.617103995808733,Afternoon,Friday,34.72763909597674,54.40205038521579,,20.37856231027433,3,Level 2,Casual Driver
User_33,BMW i3,100.0,Station_198,New York,2024-01-02 08:00:00,2024-01-02 09:58:00,16.136238725396332,1.306927271746284,21.517815048554308,26.438194237490425,Evening,Monday,23.603991432132744,88.2000728013921,35.50388319357353,39.38401391534167,1,Level 2,Casual Driver
User_34,Tesla Model 3,62.0,Station_211,Houston,2024-01-02 09:00:00,2024-01-02 12:03:00,60.06708508895625,0.9991001884039166,7.651570046980447,18.034390040505443,Afternoon,Monday,22.881466625938916,51.43427868199236,46.35755886056615,13.991597483206988,1,Level 2,Casual Driver
User_40,Nissan Leaf,100.0,Station_23,Houston,2024-01-02 15:00:00,2024-01-02 16:50:00,68.17785003637414,3.2424460582484915,23.31161908295264,8.498571936835022,Morning,Thursday,17.040420024456118,56.07865100803714,130.37601376208403,-3.191455365646359,2,Level 2,Long-Distance Traveler
User_41,BMW i3,79.7992037611215,Station_410,Los Angeles,2024-01-02 16:00:00,2024-01-02 18:58:00,67.51805822343026,1.9623405401552507,6.897878329777162,29.222361949491813,Night,Sunday,80.86258863357027,62.52531776559165,119.63099233488512,35.233158486596466,1,Level 2,Casual Driver
User_42,Tesla Model 3,100.0,Station_461,Houston,2024-01-02 17:00:00,2024-01-02 18:15:00,39.398742356080696,2.3977153605176023,20.46036486895017,26.619717748813557,Morning,Saturday,28.252298260726327,96.287092238838,111.01653950164392,19.78108389153856,2,Level 2,Commuter
User_45,Nissan Leaf,75.0,Station_44,Los Angeles,2024-01-02 20:00:00,2024-01-02 22:29:00,,3.296056589144087,5.114613366354828,30.037968888365,Morning,Wednesday,15.220938965012722,132.95201054959608,49.384266364222384,32.01457653994244,3,Level 2,Long-Distance Traveler
User_48,Hyundai Kona,62.0,Station_97,Chicago,2024-01-02 23:00:00,2024-01-02 23:37:00,30.710934027103814,1.6336686079712066,6.35266144526304,18.131831711875755,Morning,Wednesday,76.12005335845825,76.68243090588436,18.93451548845076,27.895176779200867,0,Level 2,Commuter
User_53,BMW i3,50.0,Station_192,Chicago,2024-01-03 04:00:00,2024-01-03 05:35:00,65.98624912728606,3.3138023577161824,46.27844331315938,18.84961040539716,Morning,Wednesday,17.38966714207173,73.4380396237612,234.9966615729484,-7.719425911074026,0,Level 2,Long-Distance Traveler
User_57,BMW i3,69.88407424915135,Station_317,San Francisco,2024-01-03 08:00:00,2024-01-03 11:51:00,76.45046498743068,3.873449980578508,11.339063162639302,30.192234438786446,Evening,Wednesday,63.67446343632872,55.389776083986256,191.93791499432749,10.424645029884408,2,Level 2,Commuter
User_63,Hyundai Kona,124.31591138552656,Station_87,Houston,2024-01-03 14:00:00,2024-01-03 16:50:00,46.1951370011332,0.6505075790560018,47.87752355760527,30.86418085784876,Afternoon,Sunday,53.00518532661712,59.90164627311141,25.02725725569419,6.17125670947679,1,Level 2,Commuter
User_67,Nissan Leaf,100.0,Station_334,San Francisco,2024-01-03 18:00:00,2024-01-03 21:04:00,37.06292777850246,1.6090994326029475,15.230062587672052,37.87533457659361,Morning,Wednesday,7.520444726979813,67.79787265012489,98.14598101957088,16.483705935041975,2,Level 2,Long-Distance Traveler
User_78,BMW i3,75.0,Station_169,New York,2024-01-04 05:00:00,2024-01-04 08:40:00,31.218889683829406,3.340997592022919,30.02591267156402,17.60489531315022,Afternoon,Monday,39.51761676284298,71.27176463552543,242.48556290631956,39.83142977123109,3,Level 2,Commuter
User_84,Hyundai Kona,62.0,Station_287,San Francisco,2024-01-04 11:00:00,2024-01-04 13:54:00,32.83295683246542,3.4086383448749484,44.492366139662046,39.67482338466678,Night,Wednesday,26.654722048049937,63.71062691853387,279.8982720475401,5.803389498206,1,Level 2,Casual Driver
User_87,Tesla Model 3,62.0,Station_391,San Francisco,2024-01-04 14:00:00,2024-01-04 15:54:00,41.01058174547109,3.3669557754635044,45.32010959769544,18.06652173487606,Afternoon,Wednesday,73.62283683904118,83.05427335844938,103.7883061403116,-4.572249344016912,3,Level 2,Commuter
User_88,Tesla Model 3,62.0,Station_105,New York,2024-01-04 15:00:00,2024-01-04 16:26:00,79.81869447094793,2.6064796291623145,13.009732230851895,35.97131697104875,Afternoon,Friday,86.11175650087344,69.39563151935643,274.02065391535655,10.69221008986976,2,Level 2,Casual Driver
