user_id,vehicle_model,battery_capacity,charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed,charging_duration,charging_rate,charging_cost,time_of_day,day_of_week,soc_start,soc_end,distance_driven,temperature,vehicle_age,charger_type,user_type
User_32,BMW i3,100.0,Station_58,Chicago,2024-01-02 07:00:00,2024-01-02 09:27:00,38.28919933554271,2.0076640542660726,12.064391459035129,17.011782945517666,Evening,Wednesday,75.6447784790562,65.61730718592959,238.9093109631085,2.273162900972052,6,Level 1,Commuter
User_61,Nissan Leaf,62.0,Station_97,Houston,2024-01-03 12:00:00,2024-01-03 14:22:00,21.82768817738645,2.082100007126398,26.50712322152529,36.06804149617966,Evening,Tuesday,33.255985091753644,51.50113226723436,48.044387156223145,38.65644395728205,7,Level 1,Casual Driver
User_69,BMW i3,75.0,Station_154,Los Angeles,2024-01-03 20:00:00,2024-01-03 22:37:00,16.41401693253662,1.702974822474663,,21.667786643873225,Morning,Sunday,36.950283611109775,77.13616493524884,188.47148981831265,18.53871081800196,7,Level 1,Casual Driver
User_82,Tesla Model 3,50.0,Station_314,San Francisco,2024-01-04 09:00:00,2024-01-04 12:21:00,35.9072426531086,2.7255608456585247,25.60162087204433,19.2835226965972,Night,Friday,48.88762425560186,43.05075612226932,93.85786768644309,33.076751459606555,6,Level 1,Casual Driver
User_108,BMW i3,147.39535434081623,Station_115,San Francisco,2024-01-05 11:00:00,2024-01-05 13:43:00,65.89318362199285,3.1462506357761653,24.832132237509622,11.037673144471253,Evening,Tuesday,27.38119597524401,64.70149352773214,74.92331106392334,13.419629558552458,6,Level 1,Long-Distance Traveler
User_121,Nissan Leaf,85.0,Station_155,Los Angeles,2024-01-06 00:00:00,2024-01-06 03:25:00,71.18526462073517,1.4256525513794889,10.299799723961698,5.138664199481509,Morning,Friday,36.884083700047405,73.96777838001219,276.22249249798386,-4.808919737189906,6,Level 1,Commuter
User_124,Chevy Bolt,50.0,Station_320,Chicago,2024-01-06 03:00:00,2024-01-06 05:15:00,7.515940355911836,3.4168695993661142,10.62138589036472,34.76080833534694,Night,Sunday,61.762801965366975,83.20780147452034,126.5918374849966,9.79124268086425,6,Level 1,Casual Driver
User_143,BMW i3,75.0,Station_203,Chicago,2024-01-06 22:00:00,2024-01-07 00:55:00,48.28787199679972,2.0735530968912244,34.388042437016395,30.236758806054716,Night,Wednesday,61.8669056122019,92.68815020624268,208.75457770103316,-8.036309429298335,6,Level 1,Commuter
User_144,BMW i3,50.0,Station_74,Houston,2024-01-06 23:00:00,2024-01-07 02:18:00,78.69341922441535,2.8560625647309243,36.56255636850435,7.639601311112014,Evening,Tuesday,38.19062072851722,82.43448922749442,17.241597203507894,12.737924554170815,7,Level 1,Long-Distance Traveler
User_170,BMW i3,85.0,Station_273,Houston,2024-01-08 01:00:00,2024-01-08 02:16:00,56.01783153828373,1.0409740232745897,37.85307847614943,14.577098745750815,Evening,Monday,18.037296920680053,61.93129743563027,14.723649268668742,11.492756176546411,7,Level 1,Long-Distance Traveler
